"","Event","Sport","Season","Year_City","Year"
"1183","Athletics Women's Shot Put","Athletics","Summer","2012 London",2012
"1184","Rowing Men's Coxless Fours","Rowing","Summer","2008 Beijing",2008
"1185","Rowing Men's Coxed Eights","Rowing","Summer","2012 London",2012
"1186","Cycling Men's Road Race, Individual","Cycling","Summer","1980 Moskva",1980
"1187","Cycling Men's 100 kilometres Team Time Trial","Cycling","Summer","1980 Moskva",1980
"1188","Sailing Mixed One Person Dinghy","Sailing","Summer","1996 Atlanta",1996
"1189","Cycling Men's Road Race, Individual","Cycling","Summer","1960 Roma",1960
"1190","Cycling Men's 100 kilometres Team Time Trial","Cycling","Summer","1960 Roma",1960
"1191","Rowing Men's Coxed Eights","Rowing","Summer","1952 Helsinki",1952
"1192","Boxing Men's Light-Heavyweight","Boxing","Summer","2000 Sydney",2000
"1193","Athletics Men's Javelin Throw","Athletics","Summer","1980 Moskva",1980
"1194","Athletics Men's 5,000 metres","Athletics","Summer","1988 Seoul",1988
"1195","Athletics Men's 5,000 metres","Athletics","Summer","1996 Atlanta",1996
"1196","Wrestling Women's Heavyweight, Freestyle","Wrestling","Summer","2016 Rio de Janeiro",2016
"1197","Athletics Men's 800 metres","Athletics","Summer","1948 London",1948
"1198","Athletics Men's 1,500 metres","Athletics","Summer","1948 London",1948
"1199","Fencing Men's Sabre, Team","Fencing","Summer","1936 Berlin",1936
"1200","Badminton Mixed Doubles","Badminton","Summer","2012 London",2012
"1201","Badminton Mixed Doubles","Badminton","Summer","2016 Rio de Janeiro",2016
"1202","Swimming Women's 200 metres Backstroke","Swimming","Summer","2004 Athina",2004
"1203","Athletics Men's Marathon","Athletics","Summer","1968 Mexico City",1968
"1204","Judo Men's Half-Middleweight","Judo","Summer","1980 Moskva",1980
"1205","Fencing Men's epee, Individual","Fencing","Summer","1928 Amsterdam",1928
"1206","Fencing Men's epee, Team","Fencing","Summer","1928 Amsterdam",1928
"1207","Swimming Men's 100 metres Backstroke","Swimming","Summer","2000 Sydney",2000
"1208","Fencing Women's Foil, Individual","Fencing","Summer","1928 Amsterdam",1928
"1209","Fencing Women's Foil, Individual","Fencing","Summer","1932 Los Angeles",1932
"1210","Fencing Women's Foil, Individual","Fencing","Summer","1936 Berlin",1936
"1211","Fencing Women's Foil, Individual","Fencing","Summer","1948 London",1948
"1212","Equestrianism Mixed Three-Day Event, Individual","Equestrianism","Summer","2008 Beijing",2008
"1213","Equestrianism Mixed Three-Day Event, Team","Equestrianism","Summer","2008 Beijing",2008
"1214","Sailing Mixed Two Person Keelboat","Sailing","Summer","1992 Barcelona",1992
"1215","Athletics Men's 10,000 metres","Athletics","Summer","1960 Roma",1960
"1216","Canoeing Men's Kayak Singles, Slalom","Canoeing","Summer","1992 Barcelona",1992
"1217","Boxing Men's Middleweight","Boxing","Summer","1960 Roma",1960
"1218","Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team","Shooting","Summer","1920 Antwerpen",1920
"1219","Athletics Men's 4 x 100 metres Relay","Athletics","Summer","1964 Tokyo",1964
"1220","Athletics Men's 4 x 400 metres Relay","Athletics","Summer","1960 Roma",1960
"1221","Athletics Men's 400 metres","Athletics","Summer","1964 Tokyo",1964
"1222","Athletics Men's 4 x 400 metres Relay","Athletics","Summer","1964 Tokyo",1964
"1223","Athletics Men's Decathlon","Athletics","Summer","2012 London",2012
"1224","Athletics Women's 400 metres","Athletics","Summer","1984 Los Angeles",1984
"1225","Athletics Women's 400 metres","Athletics","Summer","1996 Atlanta",1996
"1226","Table Tennis Men's Doubles","Table Tennis","Summer","1996 Atlanta",1996
"1227","Cycling Men's Team Pursuit, 4,000 metres","Cycling","Summer","1932 Los Angeles",1932
"1228","Speed Skating Men's 500 metres","Speed Skating","Winter","1988 Calgary",1988
"1229","Speed Skating Men's 1,000 metres","Speed Skating","Winter","1988 Calgary",1988
"1230","Speed Skating Men's 1,500 metres","Speed Skating","Winter","1988 Calgary",1988
"1231","Speed Skating Men's 1,500 metres","Speed Skating","Winter","1992 Albertville",1992
"1232","Speed Skating Men's 500 metres","Speed Skating","Winter","1994 Lillehammer",1994
"1233","Speed Skating Men's 1,000 metres","Speed Skating","Winter","1994 Lillehammer",1994
"1234","Speed Skating Men's 1,500 metres","Speed Skating","Winter","1994 Lillehammer",1994
"1235","Speed Skating Men's 1,500 metres","Speed Skating","Winter","1998 Nagano",1998
"1236","Speed Skating Women's 1,500 metres","Speed Skating","Winter","1994 Lillehammer",1994
"1237","Athletics Men's High Jump","Athletics","Summer","1948 London",1948
"1238","Athletics Men's 4 x 100 metres Relay","Athletics","Summer","1984 Los Angeles",1984
"1239","Athletics Men's 110 metres Hurdles","Athletics","Summer","1996 Atlanta",1996
"1240","Boxing Men's Welterweight","Boxing","Summer","1988 Seoul",1988
"1241","Wrestling Men's Light-Flyweight, Freestyle","Wrestling","Summer","1988 Seoul",1988
"1242","Wrestling Men's Light-Flyweight, Freestyle","Wrestling","Summer","1992 Barcelona",1992
"1243","Wrestling Women's Featherweight, Freestyle","Wrestling","Summer","2016 Rio de Janeiro",2016
"1244","Swimming Women's 200 metres Freestyle","Swimming","Summer","1996 Atlanta",1996
"1245","Swimming Women's 400 metres Freestyle","Swimming","Summer","1996 Atlanta",1996
"1246","Swimming Women's 200 metres Individual Medley","Swimming","Summer","1996 Atlanta",1996
"1247","Swimming Women's 400 metres Individual Medley","Swimming","Summer","1996 Atlanta",1996
"1248","Swimming Women's 200 metres Individual Medley","Swimming","Summer","2000 Sydney",2000
"1249","Swimming Women's 400 metres Individual Medley","Swimming","Summer","2000 Sydney",2000
"1250","Cross Country Skiing Women's 10 kilometres","Cross Country Skiing","Winter","1964 Innsbruck",1964
"1251","Boxing Men's Bantamweight","Boxing","Summer","1956 Melbourne",1956
"1252","Judo Men's Heavyweight","Judo","Summer","1980 Moskva",1980
"1253","Athletics Men's 400 metres Hurdles","Athletics","Summer","1932 Los Angeles",1932
"1254","Sailing Men's Windsurfer","Sailing","Summer","1992 Barcelona",1992
"1255","Freestyle Skiing Men's Slopestyle","Freestyle Skiing","Winter","2014 Sochi",2014
"1256","Shooting Men's Running Target, Single Shot","Shooting","Summer","1924 Paris",1924
"1257","Shooting Men's Running Target, Double Shot","Shooting","Summer","1924 Paris",1924
"1258","Hockey Men's Hockey","Hockey","Summer","1928 Amsterdam",1928
"1259","Hockey Men's Hockey","Hockey","Summer","1936 Berlin",1936
"1260","Rugby Sevens Men's Rugby Sevens","Rugby Sevens","Summer","2016 Rio de Janeiro",2016
"1261","Rowing Men's Coxless Pairs","Rowing","Summer","1984 Los Angeles",1984
"1262","Athletics Men's 1,500 metres","Athletics","Summer","1988 Seoul",1988
"1263","Athletics Men's Marathon","Athletics","Summer","1972 Munich",1972
"1264","Athletics Men's 100 metres","Athletics","Summer","1988 Seoul",1988
"1265","Athletics Men's 200 metres","Athletics","Summer","1988 Seoul",1988
"1266","Athletics Men's 100 metres","Athletics","Summer","1996 Atlanta",1996
"1267","Wrestling Women's Lightweight, Freestyle","Wrestling","Summer","2016 Rio de Janeiro",2016
"1268","Athletics Men's 5,000 metres","Athletics","Summer","1968 Mexico City",1968
"1269","Athletics Men's 5,000 metres","Athletics","Summer","1972 Munich",1972
"1270","Athletics Men's 3,000 metres Steeplechase","Athletics","Summer","1972 Munich",1972
"1271","Athletics Women's 200 metres","Athletics","Summer","2012 London",2012
"1272","Fencing Men's Sabre, Team","Fencing","Summer","1924 Paris",1924
"1273","Athletics Women's 10,000 metres","Athletics","Summer","1996 Atlanta",1996
"1274","Athletics Women's Marathon","Athletics","Summer","2008 Beijing",2008
"1275","Diving Men's Springboard","Diving","Summer","1952 Helsinki",1952
"1276","Football Men's Football","Football","Summer","1952 Helsinki",1952
"1277","Boxing Men's Light-Middleweight","Boxing","Summer","1980 Moskva",1980
"1278","Table Tennis Men's Doubles","Table Tennis","Summer","1988 Seoul",1988
"1279","Alpine Skiing Men's Giant Slalom","Alpine Skiing","Winter","1976 Innsbruck",1976
"1280","Alpine Skiing Men's Slalom","Alpine Skiing","Winter","1976 Innsbruck",1976
"1281","Alpine Skiing Men's Giant Slalom","Alpine Skiing","Winter","1980 Lake Placid",1980
"1282","Weightlifting Men's Lightweight","Weightlifting","Summer","2008 Beijing",2008
"1283","Hockey Men's Hockey","Hockey","Summer","1972 Munich",1972
"1284","Athletics Women's 100 metres Hurdles","Athletics","Summer","2012 London",2012
"1285","Wrestling Men's Welterweight, Greco-Roman","Wrestling","Summer","2008 Beijing",2008
"1286","Modern Pentathlon Women's Individual","Modern Pentathlon","Summer","2016 Rio de Janeiro",2016
"1287","Athletics Men's 200 metres","Athletics","Summer","1980 Moskva",1980
"1288","Athletics Men's 4 x 100 metres Relay","Athletics","Summer","1980 Moskva",1980
"1289","Boxing Men's Light-Heavyweight","Boxing","Summer","1936 Berlin",1936
"1290","Athletics Women's 100 metres","Athletics","Summer","1960 Roma",1960
"1291","Weightlifting Men's Flyweight","Weightlifting","Summer","1992 Barcelona",1992
"1292","Weightlifting Men's Flyweight","Weightlifting","Summer","1996 Atlanta",1996
"1293","Canoeing Men's Canadian Doubles, Slalom","Canoeing","Summer","1992 Barcelona",1992
"1294","Canoeing Men's Canadian Doubles, Slalom","Canoeing","Summer","1996 Atlanta",1996
"1295","Canoeing Men's Canadian Doubles, Slalom","Canoeing","Summer","2000 Sydney",2000
"1296","Judo Women's Half-Lightweight","Judo","Summer","2016 Rio de Janeiro",2016
"1297","Swimming Men's 200 metres Breaststroke","Swimming","Summer","1932 Los Angeles",1932
"1298","Swimming Men's 200 metres Breaststroke","Swimming","Summer","1936 Berlin",1936
"1299","Athletics Men's 1,500 metres","Athletics","Summer","1964 Tokyo",1964
"1300","Boxing Men's Light-Heavyweight","Boxing","Summer","2012 London",2012
"1301","Swimming Women's 200 metres Backstroke","Swimming","Summer","2000 Sydney",2000
"1302","Athletics Men's High Jump","Athletics","Summer","2016 Rio de Janeiro",2016
"1303","Boxing Men's Light-Welterweight","Boxing","Summer","1952 Helsinki",1952
"1304","Athletics Men's 400 metres Hurdles","Athletics","Summer","1996 Atlanta",1996
"1305","Sailing Mixed Two Person Heavyweight Dinghy","Sailing","Summer","1988 Seoul",1988
"1306","Sailing Mixed Two Person Heavyweight Dinghy","Sailing","Summer","1992 Barcelona",1992
"1307","Sailing Mixed Three Person Keelboat","Sailing","Summer","1984 Los Angeles",1984
"1308","Sailing Mixed Three Person Keelboat","Sailing","Summer","1992 Barcelona",1992
"1309","Swimming Women's 100 metres Freestyle","Swimming","Summer","1912 Stockholm",1912
"1310","Swimming Women's 4 x 100 metres Freestyle Relay","Swimming","Summer","1912 Stockholm",1912
"1311","Diving Women's Plain High","Diving","Summer","1924 Paris",1924
"1312","Sailing Mixed Two Person Keelboat","Sailing","Summer","1964 Tokyo",1964
"1313","Modern Pentathlon Men's Individual","Modern Pentathlon","Summer","1964 Tokyo",1964
"1314","Modern Pentathlon Men's Team","Modern Pentathlon","Summer","1964 Tokyo",1964
"1315","Equestrianism Men's Dressage, Individual","Equestrianism","Summer","1936 Berlin",1936
"1316","Equestrianism Men's Dressage, Team","Equestrianism","Summer","1936 Berlin",1936
"1317","Equestrianism Men's Jumping, Individual","Equestrianism","Summer","1912 Stockholm",1912
"1318","Equestrianism Men's Three-Day Event, Individual","Equestrianism","Summer","1912 Stockholm",1912
"1319","Equestrianism Men's Three-Day Event, Team","Equestrianism","Summer","1912 Stockholm",1912
"1320","Tennis Women's Singles, Covered Courts","Tennis","Summer","1908 London",1908
"1321","Gymnastics Women's Individual All-Around","Gymnastics","Summer","2012 London",2012
"1322","Gymnastics Women's Floor Exercise","Gymnastics","Summer","2012 London",2012
"1323","Gymnastics Women's Uneven Bars","Gymnastics","Summer","2012 London",2012
"1324","Gymnastics Women's Balance Beam","Gymnastics","Summer","2012 London",2012
"1325","Diving Men's Platform","Diving","Summer","1908 London",1908
"1326","Diving Men's Platform","Diving","Summer","1912 Stockholm",1912
"1327","Diving Men's Plain High","Diving","Summer","1912 Stockholm",1912
"1328","Diving Men's Platform","Diving","Summer","1920 Antwerpen",1920
"1329","Diving Men's Plain High","Diving","Summer","1920 Antwerpen",1920
"1330","Diving Men's Platform","Diving","Summer","1924 Paris",1924
"1331","Diving Men's Plain High","Diving","Summer","1924 Paris",1924
"1332","Diving Women's Plain High","Diving","Summer","1912 Stockholm",1912
"1333","Diving Women's Plain High","Diving","Summer","1920 Antwerpen",1920
"1334","Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres","Shooting","Summer","1976 Montreal",1976
"1335","Shooting Mixed Small-Bore Rifle, Prone, 50 metres","Shooting","Summer","1976 Montreal",1976
"1336","Swimming Women's 400 metres Freestyle","Swimming","Summer","2008 Beijing",2008
"1337","Swimming Women's 800 metres Freestyle","Swimming","Summer","2008 Beijing",2008
